time,CANESM5,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,720865460000.0,719142000000.0,714807440000.0,718167930000.0
2022.0,752497460000.0,698258750000.0,697995200000.0,710090300000.0
2023.0,730548300000.0,675287660000.0,684195840000.0,701327900000.0
2024.0,703426000000.0,657737060000.0,666810800000.0,684103240000.0
2025.0,703628800000.0,637307260000.0,653096850000.0,668466500000.0
2026.0,684347200000.0,619624900000.0,631277900000.0,655190260000.0
2027.0,666369900000.0,606622840000.0,616416940000.0,641043100000.0
2028.0,647919200000.0,589965200000.0,597997000000.0,623501840000.0
2029.0,628041400000.0,571300640000.0,584578600000.0,605374300000.0
2030.0,622671500000.0,557824600000.0,562011640000.0,600173840000.0
2031.0,599697060000.0,545035580000.0,542381640000.0,586557400000.0
2032.0,581484600000.0,530746080000.0,527119400000.0,573401800000.0
2033.0,559556700000.0,514507930000.0,512138350000.0,562840600000.0
2034.0,545691240000.0,503858460000.0,492128340000.0,547563960000.0
2035.0,522589340000.0,502674400000.0,473435300000.0,542905660000.0
2036.0,510247270000.0,498177050000.0,454245680000.0,536637400000.0
2037.0,502830760000.0,483970060000.0,443034000000.0,527448100000.0
2038.0,480181060000.0,470829240000.0,431843640000.0,518278120000.0
2039.0,460366250000.0,459038600000.0,414797400000.0,511030030000.0
2040.0,454031640000.0,450541620000.0,397958120000.0,503576700000.0
2041.0,439172270000.0,430436970000.0,380169160000.0,490753700000.0
2042.0,421947340000.0,421070370000.0,367970550000.0,472204670000.0
2043.0,407307580000.0,404337600000.0,354703570000.0,451693870000.0
2044.0,393039000000.0,394442540000.0,340443400000.0,436226200000.0
2045.0,375823660000.0,382421570000.0,323615800000.0,424834530000.0
2046.0,359116830000.0,369766430000.0,306790760000.0,409022800000.0
2047.0,352915130000.0,362617630000.0,291693820000.0,397112340000.0
2048.0,350912220000.0,348948170000.0,272690790000.0,379817530000.0
2049.0,329402320000.0,339085430000.0,260491130000.0,371443370000.0
2050.0,321833300000.0,327705660000.0,244615070000.0,359988600000.0
2051.0,315197650000.0,313863830000.0,234777330000.0,350090460000.0
2052.0,293061300000.0,304222470000.0,220124250000.0,344722400000.0
2053.0,281521950000.0,293401130000.0,207556600000.0,333009680000.0
2054.0,289300050000.0,280544700000.0,205757870000.0,324146070000.0
2055.0,295222580000.0,269378580000.0,198828470000.0,317123850000.0
2056.0,278983020000.0,259954840000.0,195877580000.0,308950760000.0
2057.0,268645680000.0,252921760000.0,190740000000.0,294430050000.0
2058.0,259927800000.0,242289690000.0,185372110000.0,282886860000.0
2059.0,249566600000.0,236441830000.0,177668600000.0,274858510000.0
2060.0,245143300000.0,225892200000.0,174247560000.0,259966810000.0
2061.0,236787070000.0,220150530000.0,172433540000.0,241626960000.0
